n;height average;height variance;average depth average;average depth variance;average leaf depth average;average leaf depth variance;leaf depth variance average;leaf depth variance variance;
16;="5.875";="0.6964285714285714";="3.0859375";="0.12716238839285715";="4.786764705882353";="0.11264211566979734";="2.1360294117647056";="0.7453657933761738";
24;="7.25";="1.3571428571428572";="3.921875";="0.2774987599206349";="5.6850000000000005";="0.25574285714285716";="3.252083333333334";="2.853939484126985";
32;="8.0";="0.8571428571428571";="4.40625";="0.29799107142857145";="6.212121212121213";="0.28020464384100735";="3.5757575757575757";="2.3723989079102705";
48;="9.375";="1.6964285714285714";="5.018229166666667";="0.3998558407738093";="6.875";="0.3837017314214317";="3.951211734693877";="4.668029553141709";
64;="10.375";="1.4107142857142858";="5.482421875";="0.21410696847098215";="7.367307692307692";="0.2075697379543533";="4.231249999999999";="2.07794867392223";
96;="11.75";="3.357142857142857";="6.532552083333334";="0.8923746744791671";="8.444587628865978";="0.874070039324051";="5.369952749140896";="5.211443126578405";
128;="12.625";="1.4107142857142858";="6.8359375";="0.3426513671875";="8.767441860465116";="0.33735953368186966";="5.526904675387597";="2.9983251653312015";
192;="14.125";="1.5535714285714286";="7.720703125";="0.10505748930431548";="9.670336787564766";="0.10397163106967396";="6.174958171416232";="0.8500369558045248";
256;="16.0";="3.7142857142857144";="8.291015625";="0.7186279296875";="10.250972762645915";="0.7130463746612363";="7.472523255107008";="8.193062792438123";
384;="17.25";="2.2142857142857144";="9.184244791666668";="0.5782543364025299";="11.155194805194805";="0.5752543189648941";="8.274578936688313";="6.837747756752964";
512;="17.875";="2.4107142857142856";="9.71142578125";="0.2798143114362444";="11.688596491228068";="0.27872448068405803";="8.258575855872323";="4.154934813182838";
768;="19.875";="6.410714285714286";="10.340494791666668";="0.554893372550843";="12.324447334200261";="0.5534511551682115";="8.95982675010837";="9.702476000859546";
1024;="21.0";="7.428571428571429";="11.2388916015625";="0.6721935101917812";="13.225975609756098";="0.6708825529021845";="10.623130478277455";="10.9278926884412";
1536;="21.5";="2.5714285714285716";="11.98876953125";="0.6802610064309744";="13.979668184775537";="0.6793761141585294";="10.331503046383688";="6.68943940997641";
2048;="23.25";="13.928571428571429";="12.27032470703125";="1.6786389989512307";="14.26336017569546";="1.677000902928793";="10.290823374683542";="18.18377266164962";
3072;="24.375";="1.4107142857142858";="12.8270263671875";="0.17330823436615983";="14.82220143182558";="0.17319545855371232";="11.12785786741377";="2.5747541146667947";
4096;="25.625";="3.982142857142857";="13.775970458984375";="0.3355303310922214";="15.772119843788138";="0.3353665579007169";="12.125945605444862";="5.4196247736628065";
