n;height average;height variance;average depth average;average depth variance;average leaf depth average;average leaf depth variance;leaf depth variance average;leaf depth variance variance;
16;="6.0";="0.8571428571428571";="3.453125";="0.14927455357142858";="4.958333333333334";="0.11794532627865963";="2.15359477124183";="0.7362186704747262";
24;="6.875";="0.9821428571428571";="3.953125";="0.175812251984127";="5.572115384615384";="0.14980452240067615";="2.6082692307692303";="2.2393155959425193";
32;="8.5";="2.2857142857142856";="4.78515625";="0.5277448381696429";="6.444852941176471";="0.46748331685615424";="3.992090017825312";="4.5266400211842965";
48;="9.5";="4.857142857142857";="5.2578125";="0.7734297495039684";="7.0075";="0.7127928571428573";="4.396683673469387";="8.093688460165405";
64;="11.0";="2.2857142857142856";="5.736328125";="0.11080060686383929";="7.53219696969697";="0.10418716384625469";="4.744842657342658";="2.909603464717101";
96;="11.875";="1.5535714285714286";="6.299479166666667";="0.22339254712301598";="8.150510204081632";="0.21436752543583032";="5.138123290553336";="4.623139440752091";
128;="13.125";="4.125";="7.1220703125";="0.6401356288364956";="8.997115384615384";="0.6205906593406588";="6.752183959451397";="10.891221589383713";
192;="15.125";="3.267857142857143";="7.928385416666667";="0.3161717974950397";="9.836340206185568";="0.3096863944855231";="7.330230756904017";="4.557212731370141";
256;="16.25";="2.5";="8.4814453125";="0.5728225708007813";="10.40794573643411";="0.5639760230755367";="7.397844840587571";="4.355396596137074";
384;="18.375";="6.267857142857143";="9.096354166666666";="0.2337878999255953";="11.044041450777202";="0.23137150374123192";="8.841183298566724";="7.670460150090259";
512;="19.125";="6.125";="9.910888671875";="0.4816675867353167";="11.868433852140079";="0.47792649342587584";="9.295868223845394";="7.272417748250196";
768;="19.75";="4.5";="10.645345052083334";="0.5576016562325613";="12.615097402597403";="0.5547087861118473";="9.649303573539598";="8.183541382058968";
1024;="20.75";="3.642857142857143";="10.719482421875";="0.3411194256373814";="12.696637426900583";="0.33979082154161705";="9.147591403984197";="4.257031207621259";
1536;="22.125";="3.267857142857143";="11.842041015625";="0.5390098132784408";="13.825341352405722";="0.5376088786834827";="10.094645525245069";="4.800544102062578";
2048;="23.5";="1.1428571428571428";="12.4288330078125";="0.5387886422021049";="14.415731707317073";="0.537737860117277";="11.675878655858266";="2.5869232818090175";
3072;="25.5";="1.1428571428571428";="13.165039062500002";="0.10644585745675207";="15.155823031880287";="0.1063073913153643";="12.201487296433053";="1.4306919832876694";
4096;="25.625";="4.839285714285714";="13.502044677734375";="0.7355401845914977";="15.494967057101023";="0.7348224093870162";="12.500306746666626";="18.23290560488035";
