size,height,expected height,variance height,avg leaf depth,variance leaf depth
64,11,6.0,5.0,6.6461538461538465,2.2322115384615375
128,17,7.0,10.0,10.224806201550388,9.691254844961243
256,16,8.0,8.0,9.474708171206226,5.336271887159537
512,18,9.0,9.0,11.144249512670566,6.401026437621834
1024,21,10.0,11.0,12.911219512195123,10.090743140243834
4096,27,12.0,15.0,15.212838662435928,12.162208175379638
8192,30,12.999999,17.0,16.523495667032833,11.896695200695307
9000,32,13.135709,18.864292,18.388734585046105,15.412535298546691
9500,30,13.213712,16.78629,17.42458688559099,13.796338579318268
10000,29,13.287712,15.712288,17.58204179582042,13.874293470653146
12000,31,13.550747,17.449253,17.7532705607866,14.867036177540419
