size,height,expected height,variance height,avg leaf depth,variance leaf depth
64,13,6.0,7.0,7.538461538461538,6.752403846153845
128,14,7.0,7.0,8.813953488372093,6.090116279069755
256,18,8.0,10.0,10.743190661478598,9.449416342412405
512,24,9.0,15.0,13.760233918128655,21.499040570175445
1024,24,10.0,14.0,13.78048780487805,13.114853277439053
4096,29,12.0,17.0,15.774957285818893,13.49231216248177
8192,33,12.999999,20.0,17.381179055291103,16.88971897098667
9000,35,13.135709,21.864292,18.066103766248194,18.885740917675843
9500,35,13.213712,21.78629,17.981265129986316,18.391227915067272
10000,35,13.287712,21.712288,17.88101189881012,18.011440415958603
12000,36,13.550747,22.449253,18.286892758936755,18.022935685914852
20000,36,14.287712,21.712288,19.492075396230188,17.739649697514235
40000,38,15.287712,22.712288,20.237769055773605,17.616339462765232
60000,38,15.872675,22.127325,20.511041482641957,15.968782250297906
100000,40,16.60964,23.39036,21.648133518664814,17.001858741213624
200000,43,17.60964,25.39036,23.525922370388148,19.742889277362046
500000,49,18.931568,30.068432,25.7003045993908,22.015510487211827
1000000,50,19.931568,30.068432,27.255228744771255,22.626097222530387
10000000,63,23.253496,39.746506,32.46526305347369,28.777022967746852
