Age,5K,5to10,10K,10to15,15K,15to20,20K,15toHalf,Half,Halfto25,25K,25to30,30K,30to35,35K,35to40,40K,Pace,40toEnd,Official Time
30,924,903,1827,917,2744,931,3675,1131,3875,744,4619,962,5581,918,6499,895,7394,298,404,7798
32,925,904,1829,915,2744,935,3679,1141,3885,735,4620,961,5581,957,6538,937,7475,303,453,7928
31,925,903,1828,916,2744,931,3675,1131,3875,744,4619,962,5581,940,6521,979,7500,304,455,7955
40,925,903,1828,916,2744,931,3675,1131,3875,744,4619,962,5581,951,6532,989,7521,304,444,7965
33,925,904,1829,915,2744,931,3675,1132,3876,744,4620,961,5581,965,6546,995,7541,305,455,7996
32,925,906,1831,932,2763,968,3731,1178,3941,759,4700,998,5698,1017,6715,975,7690,311,444,8134
32,924,903,1827,917,2744,931,3675,1132,3876,774,4650,1023,5673,1047,6720,1017,7737,314,470,8207
34,926,947,1873,957,2830,978,3808,1192,4022,772,4794,1005,5799,1036,6835,985,7820,316,440,8260
34,924,904,1828,916,2744,931,3675,1131,3875,753,4628,1029,5657,1053,6710,1088,7798,317,496,8294
32,983,984,1967,985,2952,997,3949,1211,4163,774,4937,994,5931,986,6917,957,7874,317,426,8300
32,924,903,1827,916,2743,932,3675,1132,3875,744,4619,985,5604,1088,6692,1152,7844,320,529,8373
30,998,1008,2006,997,3003,994,3997,1212,4215,784,4999,1010,6009,1031,7040,1034,8074,327,478,8552
31,988,1010,1998,997,2995,996,3991,1213,4208,785,4993,1019,6012,1048,7060,1054,8114,328,471,8585
36,991,987,1978,988,2966,995,3961,1214,4180,772,4952,1033,5985,1076,7061,1053,8114,328,478,8592
39,997,1012,2009,1011,3020,1019,4039,1242,4262,813,5075,1050,6125,1060,7185,996,8181,331,486,8667
37,964,981,1945,984,2929,1002,3931,1225,4154,933,5087,1046,6133,1062,7195,1047,8242,332,460,8702
36,1021,1009,2030,1015,3045,1022,4067,1245,4290,805,5095,1025,6120,1056,7176,1054,8230,333,476,8706
40,998,1009,2007,1008,3015,1029,4044,1254,4269,806,5075,1059,6134,1085,7219,1067,8286,335,474,8760
35,1027,1046,2073,1054,3127,1044,4171,1271,4398,800,5198,1030,6228,1058,7286,1071,8357,336,452,8809
34,978,1003,1981,1032,3013,1052,4065,1277,4290,824,5114,1085,6199,1077,7276,1061,8337,337,475,8812
32,950,970,1920,1000,2920,1027,3947,1250,4170,810,4980,1047,6027,1107,7134,1151,8285,337,533,8818
31,1046,1042,2088,1045,3133,1051,4184,1279,4412,823,5235,1063,6298,1060,7358,1026,8384,338,476,8860
30,1042,1024,2066,1045,3111,1042,4153,1270,4381,806,5187,1065,6252,1085,7337,1061,8398,339,467,8865
32,1044,1045,2089,1047,3136,1046,4182,1272,4408,824,5232,1059,6291,1076,7367,1056,8423,340,485,8908
37,1010,1037,2047,1053,3100,1065,4165,1297,4397,836,5233,1102,6335,1087,7422,1053,8475,341,444,8919
35,1034,1045,2079,1048,3127,1047,4174,1276,4403,828,5231,1059,6290,1084,7374,1072,8446,341,478,8924
37,1023,1037,2060,1043,3103,1054,4157,1289,4392,845,5237,1127,6364,1102,7466,1079,8545,344,474,9019
31,1025,1017,2042,1044,3086,1065,4151,1298,4384,847,5231,1091,6322,1111,7433,1133,8566,347,513,9079
33,990,989,1979,1007,2986,1042,4028,1269,4255,842,5097,1120,6217,1165,7382,1212,8594,348,523,9117
36,1083,1085,2168,1090,3258,1091,4349,1326,4584,836,5420,1092,6512,1110,7622,1052,8674,348,447,9121
30,1025,1012,2037,1017,3054,1028,4082,1254,4308,828,5136,1099,6235,1171,7406,1182,8588,349,538,9126
30,1077,1091,2168,1087,3255,1101,4356,1339,4594,868,5462,1086,6548,1097,7645,1034,8679,349,455,9134
40,1027,1020,2047,1046,3093,1057,4150,1283,4376,822,5198,1082,6280,1145,7425,1215,8640,350,526,9166
32,1036,1045,2081,1063,3144,1080,4224,1317,4461,855,5316,1126,6442,1135,7577,1119,8696,350,475,9171
31,1062,1068,2130,1070,3200,1076,4276,1308,4508,843,5351,1092,6443,1124,7567,1123,8690,351,493,9183
32,1021,1040,2061,1055,3116,1068,4184,1302,4418,844,5262,1106,6368,1140,7508,1173,8681,352,526,9207
36,1028,1046,2074,1062,3136,1091,4227,1330,4466,865,5331,1143,6474,1154,7628,1099,8727,352,498,9225
30,1072,1063,2135,1080,3215,1094,4309,1332,4547,858,5405,1118,6523,1128,7651,1104,8755,353,481,9236
30,1037,1044,2081,1050,3131,1052,4183,1281,4412,824,5236,1090,6326,1172,7498,1255,8753,353,488,9241
32,1019,1024,2043,1046,3089,1059,4148,1293,4382,835,5217,1101,6318,1205,7523,1197,8720,353,529,9249
31,1032,1033,2065,1057,3122,1077,4199,1308,4430,836,5266,1074,6340,1206,7546,1183,8729,354,533,9262
30,999,1009,2008,1007,3015,1022,4037,1247,4262,833,5095,1096,6191,1141,7332,1321,8653,354,617,9270
39,1076,1079,2155,1086,3241,1094,4335,1333,4574,852,5426,1109,6535,1147,7682,1134,8816,355,473,9289
33,1024,1034,2058,1055,3113,1049,4162,1277,4390,827,5217,1099,6316,1242,7558,1227,8785,356,530,9315
36,1079,1091,2170,1116,3286,1118,4404,1357,4643,861,5504,1134,6638,1137,7775,1068,8843,356,483,9326
39,1062,1067,2129,1071,3200,1082,4282,1318,4518,865,5383,1126,6509,1164,7673,1167,8840,357,501,9341
36,1094,1100,2194,1107,3301,1104,4405,1344,4645,867,5512,1109,6621,1122,7743,1122,8865,357,479,9344
40,1000,1033,2033,1054,3087,1097,4184,1336,4423,903,5326,1175,6501,1187,7688,1157,8845,357,513,9358
30,1065,1078,2143,1079,3222,1085,4307,1319,4541,856,5397,1122,6519,1169,7688,1158,8846,358,521,9367
30,1077,1098,2175,1115,3290,1092,4382,1327,4617,851,5468,1118,6586,1138,7724,1142,8866,358,519,9385
32,1063,1066,2129,1071,3200,1083,4283,1319,4519,865,5384,1125,6509,1165,7674,1209,8883,359,510,9393
36,1100,1106,2206,1108,3314,1108,4422,1348,4662,865,5527,1127,6654,1123,7777,1128,8905,359,495,9400
40,1094,1105,2199,1120,3319,1122,4441,1366,4685,878,5563,1127,6690,1137,7827,1112,8939,359,468,9407
32,1048,1046,2094,1062,3156,1073,4229,1307,4463,882,5345,1145,6490,1186,7676,1215,8891,359,517,9408
36,1020,1010,2030,1016,3046,1027,4073,1253,4299,842,5141,1102,6243,1215,7458,1360,8818,360,599,9417
35,1032,1038,2070,1072,3142,1110,4252,1353,4495,887,5382,1158,6540,1183,7723,1170,8893,360,524,9417
35,1108,1082,2190,1112,3302,1136,4438,1390,4692,873,5565,1121,6686,1131,7817,1108,8925,360,495,9420
33,1134,1103,2237,1104,3341,1122,4463,1364,4705,879,5584,1134,6718,1116,7834,1100,8934,360,497,9431
31,1042,1085,2127,1125,3252,1137,4389,1379,4631,883,5514,1152,6666,1140,7806,1141,8947,361,505,9452
35,1103,1105,2208,1123,3331,1120,4451,1362,4693,878,5571,1139,6710,1150,7860,1135,8995,362,487,9482
34,1036,1044,2080,1064,3144,1103,4247,1341,4485,929,5414,1182,6596,1180,7776,1193,8969,362,516,9485
36,1098,1093,2191,1096,3287,1116,4403,1358,4645,876,5521,1152,6673,1173,7846,1152,8998,363,506,9504
30,1163,1128,2291,1126,3417,1119,4536,1364,4781,879,5660,1137,6797,1136,7933,1095,9028,363,478,9506
30,1084,1067,2151,1073,3224,1093,4317,1330,4554,851,5405,1230,6635,1246,7881,1148,9029,363,481,9510
33,1078,1101,2179,1114,3293,1115,4408,1362,4655,875,5530,1150,6680,1177,7857,1150,9007,364,517,9524
36,1048,1101,2149,1051,3200,1099,4299,1341,4541,872,5413,1270,6683,1168,7851,1171,9022,364,517,9539
36,1099,1085,2184,1093,3277,1114,4391,1357,4634,879,5513,1134,6647,1170,7817,1192,9009,365,544,9553
35,1069,1069,2138,1071,3209,1085,4294,1326,4535,985,5520,1170,6690,1192,7882,1172,9054,365,499,9553
36,1082,1088,2170,1104,3274,1121,4395,1363,4637,891,5528,1168,6696,1191,7887,1160,9047,365,509,9556
35,1074,1070,2144,1095,3239,1124,4363,1367,4606,885,5491,1181,6672,1215,7887,1155,9042,365,517,9559
30,1172,1126,2298,1139,3437,1139,4576,1385,4822,878,5700,1131,6831,1137,7968,1112,9080,365,489,9569
33,1148,1093,2241,1108,3349,1114,4463,1355,4704,871,5575,1134,6709,1155,7864,1175,9039,366,533,9572
37,1067,1075,2142,1100,3242,1111,4353,1354,4596,881,5477,1175,6652,1201,7853,1199,9052,366,543,9595
35,1109,1125,2234,1141,3375,1143,4518,1389,4764,899,5663,1159,6822,1148,7970,1122,9092,367,505,9597
35,1013,1022,2035,1067,3102,1120,4222,1372,4474,919,5393,1192,6585,1254,7839,1247,9086,367,518,9604
38,1080,1099,2179,1108,3287,1118,4405,1360,4647,902,5549,1159,6708,1181,7889,1184,9073,367,546,9619
40,1114,1115,2229,1132,3361,1132,4493,1370,4731,880,5611,1138,6749,1150,7899,1192,9091,368,541,9632
31,1161,1148,2309,1143,3452,1142,4594,1387,4839,887,5726,1128,6854,1134,7988,1130,9118,368,515,9633
37,1101,1124,2225,1137,3362,1146,4508,1392,4754,897,5651,1162,6813,1179,7992,1152,9144,368,492,9636
39,1087,1097,2184,1112,3296,1119,4415,1366,4662,891,5553,1162,6715,1198,7913,1204,9117,368,520,9637
38,1101,1096,2197,1101,3298,1114,4412,1358,4656,881,5537,1159,6696,1201,7897,1206,9103,368,542,9645
38,1080,1090,2170,1112,3282,1134,4416,1379,4661,910,5571,1190,6761,1203,7964,1177,9141,368,505,9646
32,1044,1037,2081,1048,3129,1093,4222,1330,4459,914,5373,1220,6593,1244,7837,1210,9047,368,601,9648
37,1041,1064,2105,1090,3195,1122,4317,1365,4560,903,5463,1187,6650,1250,7900,1216,9116,369,542,9658
35,1094,1082,2176,1106,3282,1112,4394,1353,4635,886,5521,1155,6676,1205,7881,1238,9119,369,544,9663
36,1105,1123,2228,1149,3377,1144,4521,1392,4769,892,5661,1169,6830,1167,7997,1165,9162,369,501,9663
34,1111,1123,2234,1122,3356,1126,4482,1368,4724,880,5604,1141,6745,1174,7919,1213,9132,369,543,9675
